Posted On,BHK,Rent_Floor,Total_Floors,Size,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact,Rent
2022-06-24,1,1,2,270,Carpet Area,Jadavpur University,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,10000
2022-06-29,2,0,1,630,Carpet Area,Birati,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,7200
2022-05-12,3,0,2,1500,Carpet Area,Bhadrakali,Kolkata,Furnished,Bachelors,2,Contact Owner,12000
2022-06-26,1,2,5,600,Super Area,Behala,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,5000
2022-04-30,2,4,14,700,Carpet Area,Baruipur,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,8500
2022-05-27,1,0,3,300,Super Area,Ballygunge,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,6000
2022-06-06,2,0,1,1300,Super Area,Kalikapur,Kolkata,Semi-Furnished,Family,2,Contact Owner,10000
2022-05-20,2,3,3,400,Carpet Area,Behala,Kolkata,Semi-Furnished,Bachelors,1,Contact Owner,4600
2022-07-02,2,0,1,650,Super Area,"Baishnabghata Patuli Township, Patuli",Kolkata,Unfurnished,Family,2,Contact Owner,12000
2022-05-26,3,0,2,2000,Super Area,Behala,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,30000
2022-05-12,3,0,3,1068,Super Area,Bansdroni,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,15000
2022-06-22,1,1,1,150,Super Area,Salt Lake City,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,7500
2022-06-25,1,2,2,450,Carpet Area,New Town,Kolkata,Unfurnished,Bachelors,1,Contact Owner,7500
2022-07-03,2,0,1,800,Carpet Area,Baruipur,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,5000
2022-04-23,2,0,2,1000,Super Area,Bansdroni,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,15000
2022-05-14,2,5,5,900,Super Area,Pancha Sayar,Kolkata,Semi-Furnished,Bachelors,1,Contact Owner,11000
2022-05-27,1,0,2,600,Carpet Area,Behala,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,7000
2022-06-19,2,1,1,1200,Super Area,Hooghly-Chinsurah,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,6000
2022-06-19,2,2,2,1200,Super Area,Hooghly-Chinsurah,Kolkata,Semi-Furnished,Bachelors,2,Contact Owner,6000
2022-07-02,2,0,3,650,Super Area,"Amtala, Diamond Harbour Road",Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,7000
2022-07-06,2,4,4,720,Carpet Area,"Shrachi Village, Madhyam Gram",Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,8500
2022-07-02,1,1,3,300,Carpet Area,Kasba,Kolkata,Unfurnished,Bachelors,1,Contact Owner,5000
2022-06-21,3,0,2,1200,Carpet Area,VIP Road Haldiram,Kolkata,Unfurnished,Bachelors/Family,3,Contact Agent,30000
2022-06-04,2,7,8,700,Carpet Area,Sarsuna,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,10000
2022-06-24,3,1,3,2000,Super Area,Naihati,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,30000
2022-05-14,1,0,4,250,Super Area,Baksara,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,3500
2022-06-26,2,0,3,1100,Carpet Area,Naihati,Kolkata,Unfurnished,Bachelors,1,Contact Owner,8000
2022-07-02,1,0,2,300,Carpet Area,Kasba,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,5000
2022-05-05,2,0,2,600,Super Area,"Amtala, Diamond Harbour Road",Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,7500
2022-05-18,2,0,2,800,Carpet Area,"Chak Thakurani, Thakurpukur",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,6500
2022-06-07,1,1,3,680,Super Area,Jadavpur,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,7500
2022-06-07,1,0,2,680,Super Area,Jadavpur,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,7500
2022-06-26,2,1,4,850,Carpet Area,Salt Lake City Sector 1,Kolkata,Semi-Furnished,Bachelors,1,Contact Agent,16000
2022-06-26,2,1,2,850,Carpet Area,Salt Lake City Sector 1,Kolkata,Semi-Furnished,Bachelors,1,Contact Agent,16000
2022-05-30,2,0,2,700,Super Area,Bandel,Kolkata,Unfurnished,Bachelors,1,Contact Owner,6500
2022-05-22,3,0,2,1500,Super Area,Beliaghata,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,40000
2022-06-18,2,1,4,950,Super Area,"Magnolia Prestige, Rajarhat",Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,12500
2022-06-08,2,0,2,500,Super Area,"Baishnabghata Patuli Township, Patuli",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,5500
2022-06-25,1,2,4,450,Carpet Area,"Dum Dum Heights, Jessore Road",Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,5000
2022-05-03,2,0,2,700,Super Area,Sonarpur,Kolkata,Unfurnished,Bachelors,1,Contact Owner,6500
2022-05-12,1,1,2,500,Super Area,Lake Town,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,8000
2022-06-01,3,0,2,1800,Super Area,Belghoria,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,14500
2022-05-23,1,1,3,500,Carpet Area,"Rabindra Pally, Keshtopur",Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,8200
2022-05-23,2,0,3,480,Carpet Area,shukhobrishti,Kolkata,Furnished,Bachelors/Family,2,Contact Owner,15000
2022-06-21,6,1,1,1000,Super Area,Sonarpur,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,20000
2022-06-22,2,1,2,800,Super Area,"Baishnavghata patuli , house number s-300 Kolkata 700094",Kolkata,Furnished,Bachelors/Family,1,Contact Owner,6700
2022-05-27,1,2,3,435,Super Area,Kasba,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,10000
2022-05-07,2,0,2,700,Carpet Area,Dum Dum Metro,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Agent,7000
2022-06-25,2,4,4,800,Super Area,"Hazra, Kalighat",Kolkata,Furnished,Bachelors/Family,1,Contact Agent,22000
2022-06-27,2,1,3,450,Super Area,Ajoy Nagar,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,6500
2022-05-31,2,2,3,550,Carpet Area,Kasba -East,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Agent,8500
2022-06-03,2,0,4,800,Carpet Area,Salt Lake City,Kolkata,Unfurnished,Bachelors,2,Contact Agent,18000
2022-06-27,2,0,2,550,Carpet Area,Baghajatin,Kolkata,Semi-Furnished,Family,2,Contact Owner,12000
2022-05-15,1,2,4,600,Super Area,Behala,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,9000
2022-06-09,1,0,1,500,Super Area,"New Garia, Garia",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,6000
2022-04-28,2,1,2,1000,Super Area,Anandapur,Kolkata,Furnished,Bachelors/Family,2,Contact Owner,20000
2022-05-23,1,1,2,300,Carpet Area,Dum Dum Metro,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,5000
2022-06-28,2,1,3,1200,Super Area,Boral,Kolkata,Furnished,Bachelors/Family,2,Contact Owner,12000
2022-06-23,2,3,4,500,Carpet Area,"Rabindra Pally, Keshtopur",Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,10000
2022-04-29,4,1,2,1200,Super Area,Bagbazar,Kolkata,Unfurnished,Family,2,Contact Owner,18000
2022-06-13,2,1,2,900,Carpet Area,Salt Lake City Sector 1,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Agent,15000
2022-06-13,3,0,2,1300,Carpet Area,Salt Lake City Sector 2,Kolkata,Unfurnished,Bachelors/Family,3,Contact Agent,22000
2022-06-13,4,1,5,1600,Carpet Area,Salt Lake City Sector 3,Kolkata,Unfurnished,Bachelors/Family,3,Contact Agent,35000
2022-05-14,3,0,1,1450,Super Area,Ajoy Nagar,Kolkata,Unfurnished,Family,2,Contact Owner,21000
2022-07-06,2,2,2,1100,Super Area,"Action Area 1, Rajarhat Newtown",Kolkata,Furnished,Bachelors,2,Contact Agent,25000
2022-06-16,2,0,1,950,Carpet Area,"Avenue S, Santoshpur",Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,180000
2022-06-06,1,8,5,600,Carpet Area,Pratiraksha Nagar,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,6000
2022-07-04,2,0,2,700,Carpet Area,"Kudghat, Ashok Nagar",Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,14000
2022-05-15,3,0,2,750,Super Area,"Sakher Bazar, Purba Barisha",Kolkata,Unfurnished,Family,1,Contact Owner,8000
2022-05-04,2,0,1,1000,Super Area,"Purbasan, Thakurpukur",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,8000
2022-04-25,1,0,2,220,Super Area,"Bidhan Pally, Bansdroni",Kolkata,Furnished,Bachelors/Family,1,Contact Owner,6000
2022-05-21,1,1,3,300,Carpet Area,"Naktala, Garia",Kolkata,Semi-Furnished,Bachelors,1,Contact Agent,8000
2022-06-27,1,0,1,300,Carpet Area,Tiljala Road,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent,6000
2022-07-02,1,1,2,700,Super Area,Sankaritola,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,20000
2022-07-06,3,0,1,800,Super Area,"Parnashree Lake, Behala",Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,12000
2022-04-28,3,1,3,1600,Super Area,Garia,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,15000
2022-05-15,2,1,3,1000,Carpet Area,Kasba,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,14000
2022-05-30,1,2,3,20,Super Area,Dakshineswar,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,5000
2022-06-10,2,0,2,400,Carpet Area,chatana,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,7000
2022-06-23,1,2,2,200,Super Area,Shyam Bazar,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,3900
2022-06-09,3,1,4,840,Carpet Area,Mukundapur,Kolkata,Unfurnished,Bachelors,2,Contact Owner,14000
2022-06-19,1,1,1,300,Carpet Area,Salt Lake City Sector 5,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent,6300
2022-07-03,2,1,2,550,Carpet Area,Salt Lake City Sector 5,Kolkata,Furnished,Bachelors/Family,2,Contact Agent,13000
2022-07-03,1,1,2,300,Carpet Area,Salt Lake City Sector 5,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent,6800
2022-05-14,2,1,1,800,Super Area,Behala Chowrasta,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,8000
2022-05-10,2,0,6,740,Carpet Area,Sonarpur,Kolkata,Unfurnished,Bachelors,1,Contact Owner,10000
2022-04-25,2,1,1,1300,Super Area,Santoshpur,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,18000
2022-06-13,2,0,1,650,Super Area,"Garia Station, Garia",Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,8000
2022-05-06,2,1,1,490,Super Area,Entally,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,8000
2022-06-08,1,2,2,250,Super Area,Kaikhali,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,4700
2022-06-08,1,0,1,250,Super Area,"Dash Drone, Rajarhat Newtown",Kolkata,Furnished,Bachelors/Family,1,Contact Owner,4700
2022-05-06,1,1,2,450,Super Area,"Rabindra Pally, Keshtopur",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,4500
2022-06-30,1,0,1,300,Carpet Area,Salt Lake City Sector 1,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,6000
2022-06-24,2,1,3,750,Super Area,"Rajdanga Gardens, Kasba",Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,16000
2022-07-01,1,1,2,250,Super Area,Kaikhali,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,4700
2022-06-17,2,3,3,751,Carpet Area,Baghajatin,Kolkata,Unfurnished,Bachelors,1,Contact Owner,14000
2022-06-26,2,0,2,900,Carpet Area,Lake Town,Kolkata,Semi-Furnished,Bachelors,1,Contact Owner,9000
2022-06-23,2,1,3,400,Carpet Area,Keshtopur,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,5000
2022-06-13,2,0,2,1000,Carpet Area,Salt Lake City,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Agent,17500
2022-06-11,2,0,1,1000,Carpet Area,South Baksara,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,8500
2022-05-26,3,1,1,1500,Carpet Area,"Chandannagar, Hooghly-Chinsurah",Kolkata,Semi-Furnished,Family,2,Contact Owner,15000
2022-04-25,2,1,3,750,Carpet Area,"Sukhpally, Haltu",Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,12500
2022-05-11,1,2,4,1200,Super Area,Kasba,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,13000
2022-05-06,2,0,1,700,Super Area,"Sakher Bazar, Purba Barisha",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,8000
2022-05-10,2,4,4,700,Carpet Area,Garia Dhalua Nabapally,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,8000
2022-05-21,2,0,2,1000,Super Area,"Chinar Park, Rajarhat",Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,8000
2022-06-12,2,1,3,1200,Super Area,Konnagar,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,7000
2022-06-05,2,2,3,550,Super Area,Behala silpara,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,2200
2022-06-25,2,0,4,800,Carpet Area,Vip Road,Kolkata,Unfurnished,Bachelors,1,Contact Owner,8000
2022-06-11,2,1,3,280,Super Area,New Barrakpur,Kolkata,Unfurnished,Bachelors,1,Contact Owner,5500
2022-07-04,3,0,2,1100,Super Area,"Thakurpukur, Kolkata",Kolkata,Unfurnished,Bachelors/Family,3,Contact Owner,20000
2022-05-10,2,0,2,950,Super Area,Kaikhali,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent,7000
2022-05-13,1,1,2,250,Super Area,"Phool Bagan, Kankurgachi",Kolkata,Furnished,Bachelors/Family,1,Contact Owner,3500
2022-05-10,2,0,2,1000,Carpet Area,Hindmotor,Kolkata,Unfurnished,Bachelors,1,Contact Owner,5000
2022-06-30,3,0,2,1000,Carpet Area,Salt Lake City Sector 1,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,20000
2022-05-27,2,0,2,650,Super Area,Howrah,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,7000
2022-06-08,2,1,2,700,Super Area,Benia Pukur,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,10000
2022-05-15,2,0,3,700,Carpet Area,Baguiati,Kolkata,Unfurnished,Bachelors,1,Contact Owner,7000
2022-06-29,3,0,3,1000,Super Area,E M Bypass,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,12000
2022-05-13,2,1,4,900,Carpet Area,"Panchanan Tola, Thakurpukur",Kolkata,Unfurnished,Bachelors,2,Contact Owner,14500
2022-05-25,1,1,2,700,Super Area,"VIP Nagar, E M Bypass",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,6000
2022-07-04,2,1,2,700,Super Area,Jadavpur,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,9500
2022-06-27,2,2,1,450,Carpet Area,Behala,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,10000
2022-05-06,1,0,3,120,Super Area,Dum Dum Cantonment,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,3500
2022-06-01,2,1,2,800,Super Area,"New Garia, Garia",Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,9000
2022-06-07,3,2,3,1220,Carpet Area,Salt Lake City Sector 3,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,40000
2022-06-23,3,0,3,1100,Super Area,Mominpur,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,16500
2022-06-12,3,0,3,700,Carpet Area,"Halisahar Station Road, Kanchrapara",Kolkata,Unfurnished,Family,2,Contact Owner,8000
2022-05-10,2,0,3,800,Super Area,Santoshpur,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,12000
2022-06-27,2,2,2,670,Super Area,"Dunlop, Dakshineswar, Belgharia Expressway",Kolkata,Unfurnished,Family,1,Contact Owner,6500
2022-04-30,4,1,2,1300,Super Area,Ballygunge,Kolkata,Unfurnished,Bachelors/Family,3,Contact Owner,40000
2022-05-06,1,0,2,190,Super Area,Baguihati,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,5000
2022-05-24,2,0,2,700,Super Area,Kabardanga,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,9000
2022-06-17,1,0,4,240,Carpet Area,Jadavpur,Kolkata,Unfurnished,Bachelors,1,Contact Owner,7000
2022-05-19,2,2,4,850,Carpet Area,Behala Chowrasta,Kolkata,Semi-Furnished,Family,1,Contact Owner,18000
2022-05-26,1,1,2,950,Super Area,Haltu,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,9000
2022-06-11,1,1,2,450,Carpet Area,Botanical Garden Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,5500
2022-06-08,2,0,2,800,Carpet Area,Bonhooghly,Kolkata,Unfurnished,Bachelors,1,Contact Owner,7500
2022-07-02,2,1,2,600,Carpet Area,Nilgung Old Bazar,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,4000
2022-05-30,3,2,2,800,Carpet Area,"Teghoria, Baguiati",Kolkata,Unfurnished,Bachelors,2,Contact Owner,10500
2022-07-03,3,0,2,1100,Carpet Area,Survey Park,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,15000
2022-06-16,2,0,2,800,Carpet Area,Baguiati,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,15000
2022-05-13,1,2,5,2200,Super Area,Kanchrapara,Kolkata,Furnished,Bachelors/Family,3,Contact Owner,50000
2022-06-08,2,1,1,950,Carpet Area,"Jote Shibrampur, Joth Shibrampur",Kolkata,Unfurnished,Bachelors,2,Contact Owner,12000
2022-04-25,2,2,3,550,Carpet Area,Ultadanga,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,11000
2022-06-04,2,1,1,1800,Carpet Area,Birati,Kolkata,Unfurnished,Bachelors,2,Contact Owner,12000
2022-05-11,2,0,2,1000,Super Area,"Chinar Park, Rajarhat",Kolkata,Furnished,Bachelors/Family,1,Contact Owner,8000
2022-05-27,2,0,3,600,Super Area,Bagha Jatin Pally,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,18000
2022-04-24,2,2,4,750,Carpet Area,rishi aurobindo sarani neat NIOH hospital,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,8000
2022-05-10,2,2,3,685,Super Area,Dum Dum Metro,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent,7000
2022-05-24,1,0,1,44,Carpet Area,Baranagar,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,6500
2022-06-10,4,0,2,1200,Carpet Area,Tollygunge,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,13000
2022-05-05,2,0,2,500,Carpet Area,Airport Near Gate No. 21/2,Kolkata,Unfurnished,Bachelors,1,Contact Owner,9000
2022-04-29,4,2,2,1110,Carpet Area,Purbasa,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,10000
2022-05-05,2,1,3,1000,Super Area,Jadavpur,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,12000
2022-06-26,2,0,2,392,Super Area,Jadavpur,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,5000
2022-05-09,2,1,2,700,Super Area,Barasat-Barrackpore Road,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,6000
2022-05-19,1,2,4,750,Super Area,Keshtopur,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,5200
2022-06-07,3,1,2,1500,Super Area,"Biren Roy Road (W) Chowrashtra Behala, Raja Rammohan Roy Road",Kolkata,Unfurnished,Family,2,Contact Owner,15000
2022-04-29,2,0,1,900,Super Area,Keshtopur,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,9000
2022-07-03,1,1,1,710,Super Area,Salt Lake City Sector 1,Kolkata,Furnished,Bachelors,1,Contact Agent,24000
2022-05-26,1,0,3,400,Carpet Area,jadavpur central park east,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,5500
2022-06-24,1,1,2,700,Carpet Area,Garia,Kolkata,Unfurnished,Bachelors,1,Contact Owner,10000
2022-07-03,2,0,2,1000,Carpet Area,Tn Chatterjee Street,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,15000
2022-06-12,1,1,2,250,Super Area,Kaikhali,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,4700
2022-05-14,1,0,3,500,Carpet Area,Bata Nagar,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,5000
2022-05-20,2,2,2,450,Carpet Area,Birati,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,5000
2022-06-27,3,1,3,1400,Super Area,Survey Park,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,15000
2022-05-14,1,1,1,500,Carpet Area,Bata Nagar,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,5000
2022-06-17,2,0,1,700,Carpet Area,Hatiara Extention,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,6000
2022-06-04,3,1,3,1200,Carpet Area,Salt Lake City Sector 1,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,18000
2022-06-21,2,1,2,450,Carpet Area,Andul,Kolkata,Unfurnished,Bachelors,1,Contact Owner,8000
2022-06-23,1,2,2,500,Carpet Area,Salt Lake City Sector 2,Kolkata,Furnished,Bachelors,1,Contact Agent,13000
2022-07-02,2,0,1,400,Carpet Area,locality,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,7500
2022-04-24,3,0,1,1000,Super Area,Khardah,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,12000
